Year,Week_Num,Region,Search_Trend_Score,Avg_Temperature_2m,Avg_Relative_Humidity_2m,Rainfall,Cases_Last_Week,Rainfall_Lag_1,Temp_Humidity_Index,Reported_Cases
2016,2,Maharashtra,18,22.3,45.2,2.1,12,1.8,1007.96,15
2016,3,Maharashtra,21,23.1,47.8,3.4,15,2.1,1104.18,18
2016,4,Maharashtra,19,24.5,50.1,5.2,18,3.4,1227.45,22
2016,5,Maharashtra,25,25.8,52.3,8.7,22,5.2,1349.34,35
2016,6,Maharashtra,30,26.2,55.0,12.3,35,8.7,1441.0,42
2016,7,Maharashtra,28,27.1,58.4,15.6,42,12.3,1582.64,38
2016,8,Maharashtra,32,27.8,60.2,18.9,38,15.6,1673.56,55
2016,9,Maharashtra,45,28.5,63.7,22.4,55,18.9,1815.45,78
2016,10,Maharashtra,52,29.1,65.0,28.5,78,22.4,1891.5,95
2016,11,Maharashtra,61,29.8,67.2,35.1,95,28.5,2002.56,120
2016,2,Karnataka,15,24.1,52.3,4.2,8,3.5,1260.43,10
2016,3,Karnataka,18,24.8,54.1,6.8,10,4.2,1341.68,14
2016,4,Karnataka,20,25.5,56.7,9.3,14,6.8,1445.85,19
2016,5,Karnataka,22,26.2,58.9,12.1,19,9.3,1543.18,25
2016,6,Karnataka,26,27.0,61.2,15.8,25,12.1,1652.4,32
2016,7,Karnataka,31,27.5,63.8,19.4,32,15.8,1754.5,45
2016,8,Karnataka,38,28.1,65.5,23.7,45,19.4,1840.55,58
2016,9,Karnataka,44,28.8,67.1,28.2,58,23.7,1932.48,72
2016,10,Karnataka,50,29.3,68.4,33.5,72,28.2,2004.12,88
2016,11,Karnataka,56,29.7,69.8,38.9,88,33.5,2073.06,105
2016,2,Kerala,20,27.2,72.1,12.5,15,10.2,1961.12,20
2016,3,Kerala,24,27.8,73.5,15.8,20,12.5,2043.3,28
2016,4,Kerala,28,28.3,74.8,19.2,28,15.8,2116.84,35
2016,5,Kerala,33,28.9,76.2,23.5,35,19.2,2202.18,48
2016,6,Kerala,39,29.4,77.8,28.1,48,23.5,2287.32,62
2016,7,Kerala,45,29.8,78.5,33.4,62,28.1,2339.3,78
2016,8,Kerala,52,30.2,79.1,38.7,78,33.4,2388.82,95
2016,9,Kerala,60,30.5,80.3,44.2,95,38.7,2449.15,115
2016,10,Kerala,68,30.8,81.0,50.5,115,44.2,2494.8,140
2016,11,Kerala,75,31.1,81.8,55.8,140,50.5,2543.98,165
2017,15,Maharashtra,35,30.2,42.1,0.5,28,0.3,1271.42,32
2017,16,Maharashtra,38,31.5,44.8,1.2,32,0.5,1411.2,40
2017,17,Maharashtra,42,32.1,48.3,3.8,40,1.2,1550.43,52
2017,18,Maharashtra,48,31.8,52.7,8.5,52,3.8,1675.86,68
2017,19,Maharashtra,55,30.5,58.2,15.2,68,8.5,1775.1,85
2017,20,Maharashtra,62,29.8,63.5,22.8,85,15.2,1892.3,110
2017,21,Maharashtra,70,29.2,68.1,32.5,110,22.8,1988.52,145
2017,22,Maharashtra,78,28.5,72.4,42.1,145,32.5,2063.4,180
2017,23,Maharashtra,82,28.1,74.8,48.5,180,42.1,2101.88,195
2017,24,Maharashtra,75,27.8,73.2,45.2,195,48.5,2034.96,170
2018,30,Karnataka,40,25.8,68.5,28.4,35,22.1,1766.3,45
2018,31,Karnataka,45,26.2,70.1,32.8,45,28.4,1836.62,58
2018,32,Karnataka,52,26.8,72.4,38.5,58,32.8,1940.32,72
2018,33,Karnataka,58,27.1,74.2,44.2,72,38.5,2010.82,90
2018,34,Karnataka,63,27.5,75.8,50.1,90,44.2,2084.5,108
2018,35,Karnataka,68,27.8,76.5,54.8,108,50.1,2126.7,125
2019,25,Kerala,55,29.5,80.2,42.5,60,38.2,2365.9,75
2019,26,Kerala,62,30.1,81.5,48.8,75,42.5,2453.15,92
2019,27,Kerala,70,30.5,82.1,55.2,92,48.8,2504.05,115
2019,28,Kerala,78,30.8,82.8,60.5,115,55.2,2550.24,140
